tid,pl_orbper,pl_rade,st_teff,tfopwg_disp,is_exoplanet
299798795,17.9453645,3.3839124,3442.0,CP,yes
150428703,13.896396,2.4586343,5522.87,PC,yes
150428703,8.1213102,2.3157186,5522.87,PC,yes
177115354,3.9287851,2.329279,5668.15,PC,yes
360156606,27.3613778,6.4522449,3050.0,CP,no
300038935,29.0497517,2.84674,8208.0,CP,no
140760434,31.8132264,21.6314984,6028.84,APC,no
290131778,3.3088922,24.9862,6188.0,CP,no
287156968,25.0571312,3.2396838,5696.0,CP,yes
447061717,24.2454967,3.878568,3535.0,CP,yes
364395234,14.2545623,10.7048234,5739.0,PC,yes
260647166,14.1758947,2.6231641,5723.87,CP,yes
260647166,19.5901578,3.0026428,5723.87,CP,yes
260647166,6.2036219,2.056748,5723.87,CP,yes
260647166,3.79589,1.553135,5723.87,CP,yes
90504905,2.2645386,5.1936764,3443.0,FP,no
103633434,3.4447015,2.00495,3912.0,CP,yes
120757718,3.0300715,12.7529892,5242.82,KP,yes
120960812,12.72038,4.96046,6212.0,KP,yes
120960812,6.238755,2.9728283,6212.0,KP,yes
153951307,3.2947689,2.5248559,3853.0,CP,no
153951307,0.7645807,1.2407226,3853.0,CP,yes
154716798,12.6396982,4.6025162,5217.0,CP,yes
29831208,1.8428078,21.2705,5080.0,APC,no
158170594,1.7208555,13.4646314,5832.83,KP,yes
159107668,4.7802597,7.6126429,5826.0,PC,yes
198212955,0.3814849,2.0605,4255.0,PC,yes
219698776,4.6595169,2.1961507,3489.0,PC,yes
219850915,6.4002807,2.2730301,4599.0,CP,yes
229781583,4.8204512,2.36747,3692.0,PC,yes
230127302,18.6548829,4.3869878,5141.0,CP,yes
230127302,4.3074513,3.2819879,5141.0,CP,yes
230127302,5.9041278,2.4489454,5141.0,CP,yes
230127302,37.9251983,3.241643,5141.0,CP,yes
232540264,15.9234883,2.18203,5711.85,CP,yes
232612416,4.3601536,6.9564258,5227.0,CP,yes
232976128,13.0791581,3.25485,5453.0,CP,yes
52368076,4.6517186,2.66889,5154.0,CP,yes
52368076,9.1549418,2.62011,5154.0,CP,yes
52368076,19.9815709,2.54717,5154.0,CP,yes
52368076,,2.9700035,5154.0,PC,yes
233059608,1.4415044,3.8345209,6603.0,FA,no
233120979,5.9630544,10.0859,5273.0,APC,no
233211762,1.1219715,3.9968417,5780.0,PC,no
233684822,4.6756655,4.03134,5779.0,FP,yes
236714379,1.0180114,6.5875997,5451.0,APC,no
237222864,10.288886,2.63881,5126.0,CP,yes
274762761,1.0332441,4.087988,2972.0,FP,no
278348461,5.4526479,14.5502,6509.0,KP,yes
288132261,10.2613397,3.60391,6124.0,PC,yes
288735205,3.4779776,12.5541925,4699.0,CP,yes
70440470,3.0354017,14.1334903,5751.0,KP,yes
355867695,3.1274634,2.5802896,4225.0,CP,yes
355867695,7.4931613,2.7733674,4225.0,CP,yes
355867695,49.825166,3.8319135,4225.0,CP,no
356311210,18.0574016,3.8092663,5897.0,PC,yes
365938305,20.8774413,2.16145,5396.0,PC,yes
406672232,1.0214555,1.46266,5098.0,PC,yes
416195870,2.7441672,7.84317,5040.0,PC,no
424865156,2.2047452,17.9781,6532.23,KP,yes
467179528,10.8948421,2.4691414,3618.0,CP,yes
467179528,18.8016111,1.9112282,3618.0,CP,yes
158561566,6.7900981,9.7548481,6378.0,KP,yes
142394656,8.157721,9.31888,5091.2,CP,yes
198241702,4.2529641,2.3483383,5591.0,CP,yes
198241702,9.2378703,2.22995,5591.0,PC,yes
234523599,3.7955178,10.3261619,3424.0,CP,yes
237200747,14.3034613,18.4949,5056.6,FP,no
286923464,6.1349783,13.1383,5828.7,KP,yes
417948359,3.3159772,4.5947,4972.7,CP,yes
445859771,4.6313014,9.34848,5736.0,CP,yes
459969957,19.3203478,9.38964,4968.1,PC,yes
13499636,11.3246821,4.2917226,5518.0,FA,yes
43064903,6.261169,1.3468319,3145.0,FA,yes
153949511,,3.2287724,5544.0,FA,yes
153949511,14.8559691,2.72638,5544.0,PC,yes
163539739,14.4751062,8.6976173,3841.0,CP,no
224297258,9.6141636,3.2264735,5477.0,CP,yes
391949880,4.9404714,2.3216,6086.0,CP,yes
230017324,9.6926392,3.289074,4665.0,PC,yes
232971294,6.390888,2.47201,6191.0,PC,yes
236445129,0.9689927,17.1331258,6430.0,KP,no
266593143,10.338505,11.8729,5336.96,KP,no
267561446,1.283251,2.558112,3855.0,FP,yes
274662200,1.2284388,1.866263,3526.0,FP,yes
277507814,0.6166953,10.4852,6588.0,APC,no
352764091,9.6001126,2.4070295,5891.0,PC,yes
365733349,2.6998294,4.94551,6180.0,CP,no
408203470,0.581322,2.2014886,3446.0,FP,no
201248411,0.980972,5.9162923,4486.0,CP,no
417676622,5.3987355,2.25345,5875.23,KP,yes
198186769,7.16199,5.05452,6229.0,PC,yes
199688472,1.4412175,17.0442,5672.9,FP,no
202504234,1.6849938,3.76716,5923.0,PC,yes
219015370,3.9152737,9.43435,5714.0,CP,yes
219852584,3.1968838,14.9685779,6470.0,CP,yes
219854185,3.9443668,14.5727196,5494.0,CP,yes
229536616,3.93034,14.8838,6292.0,FP,yes
237104103,4.5371361,9.8153513,5731.0,CP,yes
258777134,5.929405,,,FP,yes
263003176,14.3392144,2.2963233,6295.7,CP,yes
293687315,2.8716983,18.1267,6840.0,KP,yes
