pl_orbper,pl_orbsmax,pl_eqt,st_logg,st_mass,pl_insol,pl_rade,st_age,st_rad,st_met,st_teff,ra,dec,disposition,source
8.6381,0.0819,536.0,4.447,0.959,133.2115,15.99,4.765000000000001,0.5,-0.44,3987.0,176.9920988,1.5102769,CANDIDATE,K2
8.63795,0.0819,870.5,4.447,0.959,133.2115,15.1,4.765000000000001,0.438,-0.08,5662.0,176.9920988,1.5102769,CANDIDATE,K2
5.7968861,0.0819,870.5,4.447,0.959,133.2115,24.2,4.765000000000001,0.72,-0.08,4721.0,167.1711994,1.5774487,CANDIDATE,K2
5.79687,0.0819,930.0,4.447,0.959,133.2115,27.81,4.765000000000001,0.79,-0.09,5192.0,167.1711994,1.5774487,CANDIDATE,K2
0.4775252,0.0819,870.5,4.447,0.959,133.2115,20.1,4.765000000000001,0.522,-0.08,5662.0,174.6740618,1.690222,CANDIDATE,K2
22.197992,0.0819,870.5,4.447,0.959,133.2115,5.34,4.765000000000001,0.4,-0.08,3508.0,177.7087476,1.6919004,CANDIDATE,K2
44.394,0.0819,870.5,4.447,0.959,133.2115,4.07,4.765000000000001,0.318,-0.08,5662.0,177.7087476,1.6919004,CANDIDATE,K2
3.29163,0.0819,870.5,4.447,0.959,133.2115,1.17,4.765000000000001,0.567,-0.08,5662.0,170.9344032,1.8638671,CANDIDATE,K2
3.2908998,0.0819,870.5,4.447,0.959,133.2115,1.57,4.765000000000001,0.72,-0.08,4671.0,170.9344032,1.8638671,CANDIDATE,K2
0.877214,0.0819,870.5,4.6,0.959,133.2115,1.3,4.765000000000001,0.93,-0.01,5820.0,183.7203635,1.9681688,CONFIRMED,K2
0.87724,0.0177,2038.0,4.435,0.958,2852.0,1.565,6.0,0.98,0.01,5679.0,183.7203635,1.9681688,CONFIRMED,K2
0.87703,0.0819,1874.0,4.45381,1.018,133.2115,1.2,4.765000000000001,0.990833,0.018,5711.17,183.7203635,1.9681688,CONFIRMED,K2
0.877183,0.0819,870.5,4.48,0.959,133.2115,1.40575209,4.765000000000001,0.932487,-0.01,5705.0,183.7203635,1.9681688,CONFIRMED,K2
2.8964139,0.0819,870.5,4.447,0.959,133.2115,2.45,4.765000000000001,0.42,-0.08,3547.0,170.6789065,1.993208,CANDIDATE,K2
2.89607106,0.0819,870.5,4.71635,0.521398,133.2115,2.47,4.765000000000001,0.524138,-0.08,3565.0,170.6789065,1.993208,CANDIDATE,K2
2.896528,0.0819,870.5,4.447,0.959,133.2115,1.45,4.765000000000001,0.242,-0.08,5662.0,170.6789065,1.993208,CANDIDATE,K2
0.44433632,0.0819,870.5,4.447,0.959,133.2115,1.01,4.765000000000001,0.8,-0.08,5208.0,170.3118083,2.1443791,CANDIDATE,K2
0.444372,0.0819,870.5,4.81,0.959,133.2115,1.22,4.765000000000001,0.82,0.03,5540.0,170.3118083,2.1443791,CANDIDATE,K2
3.80464,0.0819,870.5,4.447,1.073,133.2115,1.22,4.765000000000001,0.966,-0.08,5662.0,185.1880932,2.2823788,CONFIRMED,K2
7.28161,0.0819,518.0,4.447,0.959,133.2115,1.78,4.765000000000001,0.49,-0.08,3742.0,179.4915118,2.321497,CANDIDATE,K2
7.28116,0.0819,870.5,4.70134,0.537488,133.2115,1.79,4.765000000000001,0.541438,-0.08,3726.0,179.4915118,2.321497,CANDIDATE,K2
7.28076,0.0819,870.5,4.447,0.959,133.2115,2.6,4.765000000000001,0.399,-0.08,5662.0,179.4915118,2.321497,CANDIDATE,K2
7.28138,0.0819,870.5,4.883,0.959,133.2115,17.0,4.765000000000001,0.399,-0.08,3784.0,179.4915118,2.321497,CANDIDATE,K2
7.28131,0.0819,870.5,4.447,0.959,133.2115,1.9,4.765000000000001,0.51,-0.08,3748.0,179.4915118,2.321497,CANDIDATE,K2
4.58328,0.0819,870.5,4.447,0.959,133.2115,2.21,4.765000000000001,0.545,-0.08,5662.0,167.4476762,2.3473081,CANDIDATE,K2
1.65336,0.0819,870.5,4.447,0.959,133.2115,1.51,4.765000000000001,0.545,-0.08,5662.0,167.4476762,2.3473081,CANDIDATE,K2
5.28081,0.0819,870.5,3.676,0.959,133.2115,10.9,4.765000000000001,3.01,-0.08,6227.0,169.4469645,2.4560803,CANDIDATE,K2
5.28130579,0.0819,870.5,3.65337,1.17,133.2115,2.47,4.765000000000001,2.66957,0.047,6161.41,169.4469645,2.4560803,CANDIDATE,K2
440.0,0.0819,870.5,4.447,0.959,133.2115,16.3,4.765000000000001,0.85,-0.08,4600.0,173.6964045,2.5270664,CANDIDATE,K2
30.0,0.0819,870.5,4.447,0.959,133.2115,22.8,4.765000000000001,0.89,-0.08,3400.0,170.1327528,2.58692,CANDIDATE,K2
8.3606759,0.0819,870.5,4.447,0.959,133.2115,24.9,4.765000000000001,0.6009,-0.08,5662.0,170.1327528,2.58692,CANDIDATE,K2
7.655533,0.0819,870.5,4.687,1.004,133.2115,2.328,4.765000000000001,0.751,-0.144,5114.0,166.0603718,2.6557881,CANDIDATE,K2
27.770388,0.0819,870.5,4.447,0.959,133.2115,25.1,4.765000000000001,0.71,-0.08,4598.0,177.2343917,2.8075643,CANDIDATE,K2
27.77045,0.0819,441.0,4.447,0.959,133.2115,32.79,4.765000000000001,8.15,-0.17,5086.0,177.2343917,2.8075643,CANDIDATE,K2
0.259669,0.0819,870.5,4.25,0.959,133.2115,0.77,4.765000000000001,0.69,-0.81,4340.0,172.0443891,2.8267296,CANDIDATE,K2
0.25967056,0.0819,870.5,4.447,0.959,133.2115,0.742,4.765000000000001,0.59,-0.08,3982.0,172.0443891,2.8267296,CANDIDATE,K2
5.54583,0.0819,870.5,4.447,0.959,133.2115,0.441,4.765000000000001,0.34,-0.08,5662.0,172.0443891,2.8267296,CANDIDATE,K2
18.4502,0.0819,870.5,4.447,0.959,133.2115,2.52,4.765000000000001,0.717,-0.08,5662.0,171.517647,2.8867875,CANDIDATE,K2
35.621,0.3501,420.0,4.512,0.954,133.2115,1.89,4.765000000000001,0.898,-0.08,5440.0,166.8010058,3.0399357,CANDIDATE,K2
4.1333,0.0819,870.5,4.447,0.959,133.2115,1.2,4.765000000000001,0.312,-0.08,5662.0,177.1019945,3.0853526,CANDIDATE,K2
1.9611469,0.0819,870.5,4.447,0.959,133.2115,5.93,4.765000000000001,0.64,-0.08,4166.0,169.21486,3.3638919,CANDIDATE,K2
1.96133691104,0.0819,1225.69,4.22028,0.959,533.383,15.86577929,4.765000000000001,1.06738,-0.08,4427.0,169.21486,3.3638919,CANDIDATE,K2
40.7302,0.0819,870.5,4.44,0.959,133.2115,7.8,4.765000000000001,0.98,-0.08,5840.0,175.2407614,3.6815406,CANDIDATE,K2
40.7362,0.0819,529.0,4.447,0.959,133.2115,7.28,4.765000000000001,0.85,-0.26,5618.0,175.2407614,3.6815406,CANDIDATE,K2
18.10220826,0.0819,870.5,3.88145,1.164,133.2115,2.47,4.765000000000001,2.04778,-0.0886,6141.1,172.3857482,3.7319788,CANDIDATE,K2
0.60408352,0.0819,870.5,4.447,0.959,133.2115,2.26,4.765000000000001,0.67,-0.08,4331.0,178.4363057,3.9322038,CANDIDATE,K2
3.52743,0.0819,870.5,5.014,0.959,133.2115,1.11,4.765000000000001,0.257,-0.08,3624.0,173.8276491,3.9340165,CANDIDATE,K2
3.52725,0.0819,870.5,4.447,0.959,133.2115,1.21,4.765000000000001,0.257,-0.08,5662.0,173.8276491,3.9340165,CANDIDATE,K2
3.52674,0.0819,870.5,4.87298,0.335348,133.2115,1.32,4.765000000000001,0.350987,-0.08,3413.0,173.8276491,3.9340165,CANDIDATE,K2
3.5269024,0.0819,870.5,4.447,0.959,133.2115,2.98,4.765000000000001,0.67,-0.08,4332.0,173.8276491,3.9340165,CANDIDATE,K2
6340.0,0.0819,870.5,4.447,0.959,133.2115,12.8,4.765000000000001,0.88,-0.08,4800.0,179.1664861,3.9864368,CANDIDATE,K2
9.321691,0.0819,870.5,4.712,0.787,133.2115,17.325,4.765000000000001,0.678,-0.255,5089.0,166.2565337,4.1450789,CANDIDATE,K2
6.662,0.0819,870.5,4.447,0.959,133.2115,1.59,4.765000000000001,0.483,-0.08,5662.0,168.9116543,4.1931655,CANDIDATE,K2
2.71578,0.0819,870.5,4.447,0.67,133.2115,1.03,4.765000000000001,0.966,-0.08,5662.0,175.0972238,4.5574311,CONFIRMED,K2
2.0478,0.0296,870.5,4.659,0.727,133.2115,0.90819,4.765000000000001,0.655,-0.003,4520.0,173.9385102,4.6164303,CONFIRMED,K2
8.3606759,0.0819,870.5,4.447,0.959,133.2115,35.0,4.765000000000001,1.266,-0.08,5662.0,168.0081427,4.9320303,CANDIDATE,K2
27.27048734,0.0819,870.5,3.66162,1.1,133.2115,2.47,4.765000000000001,2.564,-0.5519,5990.87,168.5427766,4.9881156,CANDIDATE,K2
27.242808,0.0819,870.5,4.447,0.959,133.2115,93.0,4.765000000000001,2.54,-0.08,5662.0,168.5427766,4.9881156,CANDIDATE,K2
27.24273,0.0819,707.0,4.447,0.959,133.2115,31.73,4.765000000000001,0.92,-0.54,6166.0,168.5427766,4.9881156,CANDIDATE,K2
27.242912,0.0819,870.5,4.447,0.959,133.2115,18.8,4.765000000000001,0.9,-0.08,5547.0,168.5427766,4.9881156,CANDIDATE,K2
1.395336,0.0819,870.5,4.447,0.959,133.2115,0.76,4.765000000000001,0.28,-0.08,5662.0,170.6976906,5.0951726,CANDIDATE,K2
1.39533316,0.0819,870.5,4.80422,0.419014,133.2115,2.47,4.765000000000001,0.424658,-0.08,3433.0,170.6976906,5.0951726,CANDIDATE,K2
1.3951513,0.0819,870.5,4.447,0.959,133.2115,0.879,4.765000000000001,0.32,-0.08,3390.0,170.6976906,5.0951726,CANDIDATE,K2
15.3791,0.0819,870.5,4.447,0.959,133.2115,1.89,4.765000000000001,0.336,-0.08,5662.0,174.031648,5.2521219,CANDIDATE,K2
33.5107,0.0819,870.5,4.5,0.959,133.2115,2.14,4.765000000000001,0.896,-0.08,5683.0,175.6541539,5.8942286,CANDIDATE,K2
33.51569,0.0819,613.0,4.447,0.959,133.2115,3.83,4.765000000000001,0.71,-0.69,5552.0,175.6541539,5.8942286,CANDIDATE,K2
